"participant","avg_vigorous_activity_min","avg_moderate_activity_min","avg_light_activity_min","avg_sedentary_activity_min","avg_calories_burned"
1,36,16,228,810,1796
2,1,1,121,1278,1353
3,15,44,228,1034,2916
4,1,1,158,1035,1616
5,0,2,112,953,2254
6,40,22,254,1059,2475
7,0,0,169,659,1356
8,1,1,126,1249,1532
9,12,23,254,684,2021
10,5,6,275,1137,1696
11,0,82,169,1100,2273
12,12,4,287,1085,1860
13,12,31,207,709,1398
14,4,8,130,1083,3075
15,1,5,43,1358,1904
16,7,18,249,780,1994
17,0,0,0,1384,1805
18,5,1,201,861,2108
19,4,3,250,1085,1830
20,3,17,247,727,2821
21,24,17,183,608,1802
22,82,28,157,666,3300
23,0,4,300,864,2099
24,8,11,39,1290,2166
25,5,1,34,1262,1763
26,20,49,124,1018,2725
27,35,29,259,606,2089
28,45,16,278,1001,2627
29,26,18,101,889,2177
30,85,11,154,1114,2893
31,6,5,59,1352,1463
32,55,10,169,684,3356
33,1,2,137,1262,2391
34,2,5,132,894,2074
35,67,15,241,1046,3451
